mode,eps_min,alpha_min,weight
absorption,1.1884,0.107248,3
absorption,0.9286,0.064211,4
absorption,1.6782,0.151450,6
absorption,0.2908,0.036899,5
absorption,0.4078,0.036804,7
absorption,2.2280,0.201065,4
absorption,0.0476,0.004300,2
absorption,1.9901,0.179595,1
absorption,0.9602,0.121850,5
absorption,3.2872,0.227316,1
absorption,0.6980,0.088578,2
absorption,0.4044,0.036494,6
absorption,4.1455,0.526061,6
absorption,3.6163,0.153417,2
absorption,1.0447,0.072240,1
absorption,2.7774,0.352449,6
absorption,0.8627,0.077856,6
absorption,1.5565,0.140464,4
absorption,1.5098,0.136248,3
absorption,0.8058,0.072717,2
absorption,2.4215,0.307287,6
absorption,0.2501,0.031734,1
absorption,1.2620,0.160151,2
absorption,6.8751,0.872440,4
absorption,2.7939,0.354546,7
absorption,0.7758,0.053645,2
absorption,4.1169,0.522421,2
absorption,0.4868,0.061775,6
absorption,0.5653,0.039095,4
absorption,0.9123,0.082334,2
absorption,0.4036,0.027910,1
absorption,0.3405,0.023544,3
absorption,0.8446,0.076217,5
absorption,7.6350,0.968870,5
absorption,2.6125,0.235768,6
absorption,0.3001,0.027079,5
absorption,0.6845,0.047336,2
absorption,1.2768,0.162027,7
absorption,0.7515,0.051968,6
absorption,0.8727,0.078758,3
absorption,3.1670,0.401880,5
absorption,1.3621,0.172845,4
absorption,0.9096,0.082087,3
absorption,1.8967,0.240689,3
absorption,0.3683,0.033241,5
absorption,0.3133,0.028272,3
absorption,1.7868,0.161254,5
absorption,0.6672,0.046136,1
absorption,1.8366,0.165747,4
absorption,0.2344,0.009943,1
absorption,1.6056,0.144900,2
absorption,4.4213,0.561048,6
absorption,0.9218,0.116970,3
absorption,1.4404,0.099605,1
absorption,1.5406,0.139034,3
absorption,0.2090,0.014453,2
absorption,0.3289,0.029686,5
absorption,1.0133,0.091442,1
absorption,0.9823,0.067925,1
absorption,1.5333,0.106033,2
absorption,0.3555,0.045118,3
absorption,1.3474,0.121600,6
absorption,0.1685,0.021380,4
absorption,1.6186,0.146067,4
absorption,0.9483,0.085582,2
absorption,1.0247,0.070861,2
absorption,0.8864,0.079990,5
absorption,2.2427,0.155089,2
absorption,2.1981,0.198368,8
absorption,0.5931,0.075261,5
absorption,1.0908,0.046276,2
absorption,2.1775,0.196511,2
absorption,3.9786,0.504877,3
absorption,0.2666,0.024059,2
absorption,1.9246,0.133088,1
absorption,0.6888,0.029220,1
absorption,1.5742,0.199762,3
absorption,1.8219,0.164421,4
absorption,1.6829,0.116374,1
absorption,0.2986,0.026948,2
absorption,1.1142,0.100549,3
absorption,1.6729,0.150968,4
absorption,1.5483,0.107068,3
absorption,1.2900,0.116418,4
absorption,0.7795,0.070344,2
absorption,0.8315,0.057501,1
absorption,0.0443,0.003999,1
absorption,2.2937,0.158611,1
absorption,0.8039,0.072546,1
absorption,2.7138,0.187661,1
absorption,3.4456,0.437237,1
absorption,1.3910,0.096189,1
absorption,0.3284,0.029637,1
absorption,1.7727,0.159981,1
absorption,0.5380,0.048550,1
absorption,1.5236,0.137499,1
absorption,1.0703,0.096585,1
